1134791	1745380	2	1239,91061,186826,81852,1350,1351,1134791	201174,1760,85013,74712,1854,1745380
536535	933601	2	1117,1161,1162,1177,536535	1224,28211,356,82115,227290,379,933601
927644	1095570	2	1239,91061,1385,186817,1386,927644	68336,976,117747,200666,84566,84567,1095570
1437552	1636710	2	2323,49928,1437552	1224,28216,80840,506,222,1636710
629265	572171	1224	1236,72274,135621,286,136849,251701,59511,629265	28216,80840,119060,131079,572171
1316713	1133891	2	201174,1760,85006,85023,90316,1316713	2323,49928,1133891
595529	67602	2	1239,91061,1385,186817,1386,595529	1224,28211,356,31993,40087,67602
1220815	1270177	2	1224,1236,135623,641,662,1220815	2323,49928,1270177
1257021	1457004	2	68336,976,768503,768507,200667,340671,1257021	1224,28211,356,772,773,1457004
338396	403640	2	1224,28211,356,82115,227290,379,338396	1239,91061,1385,186818,162291,403640
1318934	1072109	1236	135625,712,724,1318934	72274,468,469,1072109
1295335	328302	2	201174,1760,85013,74712,1854,1295335	1224,68525,28221,213115,194924,872,328302
207493	1737066	2	1224,1236,91347,543,613,138074,207493	201174,1760,85011,2062,1883,1737066
483016	1713150	2	68336,976,117743,200644,49546,449810,483016	1224,28211,204457,41297,13687,1713150
1736530	207503	1224	28216,80840,80864,34072,1736530	1236,91347,543,613,138074,207503
1111959	998924	2	201174,1760,85006,85016,1707,1111959	2323,49928,998924
1386897	1608695	2	68336,976,117743,200644,49546,178469,1386897	1224,28211,356,119045,407,1608695
556322	1286024	28211	204455,31989,1060,556322	204441,41295,85274,1286024
1319474	1762859	1224	1236,91347,543,191675,36866,1319474	28211,766,942,952,953,1762859
1542696	1629985	2	1224,1236,135622,72275,2742,1542696	68336,976,117743,200644,49546,237,1629985
1715196	1747938	1385	90964,1279,1715196	186817,1386,1747938
885279	1122682	2	1224,1236,91347,543,568,885279	2323,49928,1122682
195495	480970	2	1117,1301283,1118,1129,195495	1224,1236,135613,1046,85072,480970
329410	1072366	2	1224,28216,80840,119060,32008,329410	201174,1760,85007,85025,1827,1072366
484549	398991	2	1239,91061,1385,186817,1386,484549	1224,28216,119066,33809,398991
1323339	1441107	2	1224,1236,72274,135621,286,1323339	1239,91061,1385,186817,1386,1441107
285343	1560917	2	1239,91061,1385,186822,55080,285343	201174,1760,85006,1268,1663,1560917
331831	1584434	1224	28211,82117,33807,331831	1236,135623,641,662,1584434
1091023	1456701	1760	85006,1268,1663,1091023	85011,2062,1883,1456701
1170569	256178	2	1224,1236,135619,28256,2745,1170569	201174,1760,85011,2062,1883,256178
